support,itemsets
0.17,frozenset({'Chips'})
0.16233333333333333,frozenset({'Eggs'})
0.161,frozenset({'Yogurt'})
0.15933333333333333,frozenset({'Cookies'})
0.159,frozenset({'Cheese'})
0.15666666666666668,frozenset({'Ice Cream'})
0.15433333333333332,frozenset({'Juice'})
0.154,frozenset({'Soda'})
0.154,frozenset({'Coffee'})
0.15266666666666667,frozenset({'Fish'})
0.15266666666666667,frozenset({'Cereal'})
0.15233333333333332,frozenset({'Onions'})
0.152,frozenset({'Butter'})
0.15033333333333335,frozenset({'Rice'})
0.14766666666666667,frozenset({'Carrots'})
0.147,frozenset({'Bread'})
0.14666666666666667,frozenset({'Tea'})
0.14666666666666667,frozenset({'Potatoes'})
0.146,frozenset({'Apples'})
0.14533333333333334,frozenset({'Flour'})
0.145,frozenset({'Oil'})
0.145,frozenset({'Pasta'})
0.14433333333333334,frozenset({'Bananas'})
0.144,frozenset({'Sugar'})
0.14366666666666666,frozenset({'Chicken'})
0.142,frozenset({'Salt'})
0.14133333333333334,frozenset({'Tomatoes'})
0.14133333333333334,frozenset({'Milk'})
0.13933333333333334,frozenset({'Pepper'})
0.13666666666666666,frozenset({'Beef'})
